@id,Language Dependency
359,Not Dependent
360,Not Dependent
361,Somewhat
362,Not Dependent
363,Not Dependent
364,Not Dependent
365,Not Dependent
366,Not Dependent
367,Somewhat
368,Not Dependent
369,Not Dependent
371,Somewhat
372,Not Dependent
373,Not Dependent
374,Not Dependent
375,Moderately
376,Not Dependent
377,Not Dependent
378,Somewhat
379,Somewhat
380,Not Dependent
381,Moderately
382,Not Dependent
383,Not Dependent
384,Not Dependent
386,Not Dependent
387,Not Dependent
388,Not Dependent
389,Not Dependent
391,Not Dependent
392,Somewhat
393,Extensively
394,Not Dependent
396,Not Dependent
397,Fully
398,Not Dependent
399,Not Dependent
400,Moderately
401,Not Dependent
403,Not Dependent
404,Not Dependent
406,Not Dependent
408,Moderately
409,Not Dependent
410,Not Dependent
412,Not Dependent
413,Moderately
414,Moderately
415,Not Dependent
416,Fully
417,Not Dependent
420,Moderately
421,Somewhat
422,Somewhat
423,Not Dependent
424,Not Dependent
425,Somewhat
426,Moderately
427,Not Dependent
428,Not Dependent
429,Not Dependent
430,Somewhat
431,Not Dependent
432,Not Dependent
433,Not Dependent
434,Not Dependent
436,Not Dependent
437,Not Dependent
438,Not Dependent
440,Not Dependent
441,Moderately
442,Moderately
443,Moderately
444,Not Dependent
445,Not Dependent
446,Not Dependent
449,Not Dependent
450,Not Dependent
451,Not Dependent
452,Not Dependent
454,Somewhat
455,Not Dependent
457,Not Dependent
458,Somewhat
459,Not Dependent
460,Not Dependent
461,Not Dependent
462,Not Dependent
463,Fully
464,Not Dependent
465,Not Dependent
466,Somewhat
468,Not Dependent
469,Not Dependent
470,Not Dependent
471,Not Dependent
472,Somewhat
473,Not Dependent
474,Somewhat
475,Not Dependent
476,Somewhat
477,Moderately
478,Moderately
479,Not Dependent
480,Moderately
481,Not Dependent
482,Not Dependent
483,Not Dependent
484,Moderately
485,Not Dependent
486,Not Dependent
487,Not Dependent
488,Not Dependent
489,Not Dependent
490,Moderately
491,Not Dependent
492,Moderately
494,Not Dependent
495,Not Dependent
496,Not Dependent
497,Not Dependent
498,Not Dependent
499,Moderately
500,Not Dependent
501,Not Dependent
502,Not Dependent
503,Not Dependent
504,Not Dependent
505,Not Dependent
506,Somewhat
507,Moderately
508,Somewhat
509,Not Dependent
510,Somewhat
511,Moderately
512,Not Dependent
513,Not Dependent
514,Extensively
515,Not Dependent
517,Not Dependent
518,Not Dependent
519,Not Dependent
520,Somewhat
521,Not Dependent
524,Not Dependent
525,Not Dependent
526,Not Dependent
527,Not Dependent
528,Not Dependent
529,Not Dependent
530,Not Dependent
531,Not Dependent
533,Not Dependent
534,Not Dependent
535,Not Dependent
536,Not Dependent
537,Not Dependent
538,Not Dependent
539,Not Dependent
540,Not Dependent
541,Not Dependent
542,Fully
545,Not Dependent
547,Not Dependent
548,Somewhat
549,Not Dependent
550,Not Dependent
551,Moderately
552,Not Dependent
553,Extensively
554,Somewhat
555,Moderately
556,Not Dependent
557,Not Dependent
558,Not Dependent
559,Not Dependent
561,Not Dependent
562,Not Dependent
563,Somewhat
564,Extensively
565,Not Dependent
566,Not Dependent
567,Not Dependent
568,Not Dependent
569,Not Dependent
570,Not Dependent
571,Not Dependent
572,Not Dependent
573,Not Dependent
574,Not Dependent
575,Not Dependent
577,Somewhat
578,Not Dependent
579,Moderately
581,Not Dependent
582,Extensively
585,Not Dependent
586,Moderately
587,Not Dependent
589,Extensively
590,Somewhat
592,Not Dependent
593,Not Dependent
594,Not Dependent
595,Not Dependent
596,Not Dependent
599,Not Dependent
600,Not Dependent
601,Not Dependent
602,Not Dependent
603,Not Dependent
604,Not Dependent
605,Not Dependent
606,Not Dependent
607,Somewhat
608,Not Dependent
609,Not Dependent
610,Not Dependent
611,Extensively
612,Not Dependent
613,Not Dependent
614,Not Dependent
615,Not Dependent
616,Extensively
617,Not Dependent
618,Not Dependent
619,Not Dependent
620,Extensively
621,Fully
622,Not Dependent
623,Moderately
624,Not Dependent
625,Not Dependent
626,Moderately
627,Moderately
629,Not Dependent
630,Not Dependent
631,Not Dependent
632,Not Dependent
633,Extensively
634,Not Dependent
635,Somewhat
636,Not Dependent
637,Somewhat
638,Not Dependent
639,Moderately
642,Fully
643,Not Dependent
644,Not Dependent
645,Not Dependent
646,Somewhat
647,Not Dependent
648,Not Dependent
649,Somewhat
650,Extensively
651,Not Dependent
652,Not Dependent
653,Not Dependent
655,Moderately
657,Not Dependent
660,Not Dependent
661,Not Dependent
663,Not Dependent
664,Not Dependent
665,Not Dependent
666,Not Dependent
667,Not Dependent
668,Not Dependent
669,Somewhat
670,Moderately
671,Moderately
673,Moderately
674,Not Dependent
675,Not Dependent
676,Not Dependent
677,Fully
678,Not Dependent
679,Somewhat
680,Not Dependent
681,Not Dependent
683,Not Dependent
684,Somewhat
685,Not Dependent
686,Not Dependent
687,Not Dependent
688,Moderately
689,Not Dependent
690,Moderately
691,Not Dependent
692,Somewhat
695,Not Dependent
696,Extensively
697,Not Dependent
698,Somewhat
699,Extensively
700,Somewhat
701,Not Dependent
702,Somewhat
703,Moderately
704,Not Dependent
705,Moderately
706,Moderately
707,Not Dependent
708,Moderately
709,Moderately
710,Not Dependent
711,Not Dependent
712,Somewhat
713,Extensively
714,Extensively
715,Somewhat
716,Not Dependent
718,Moderately
719,Not Dependent
720,Moderately
721,Not Dependent
722,Not Dependent
723,Moderately
724,Moderately
725,Not Dependent
727,Moderately
728,Moderately
730,Not Dependent
731,Moderately
732,Not Dependent
733,Not Dependent
734,Not Dependent
735,Not Dependent
736,Not Dependent
738,Not Dependent
739,Not Dependent
740,Moderately
741,Moderately
742,Not Dependent
744,Not Dependent
745,Moderately
746,Moderately
747,Moderately
748,Not Dependent
749,Not Dependent
750,Not Dependent
751,Not Dependent
752,Moderately
753,Moderately
754,Not Dependent
755,Moderately
756,Not Dependent
757,Not Dependent
758,Not Dependent
759,Somewhat
760,Somewhat
761,Not Dependent
762,Not Dependent
764,Fully
765,Not Dependent
766,Not Dependent
767,Not Dependent
768,Not Dependent
769,Not Dependent
770,Not Dependent
771,Not Dependent
772,Not Dependent
773,Not Dependent
774,Not Dependent
775,Not Dependent
776,Not Dependent
778,Not Dependent
780,Not Dependent
781,Not Dependent
782,Moderately
783,Not Dependent
784,Not Dependent
785,Not Dependent
786,Moderately
787,Not Dependent
788,Extensively
789,Not Dependent
790,Not Dependent
791,Not Dependent
792,Not Dependent
793,Not Dependent
794,Not Dependent
795,Not Dependent
796,Moderately
797,Not Dependent
798,Not Dependent
799,Moderately
800,Not Dependent
801,Moderately
802,Not Dependent
803,Somewhat
804,Not Dependent
805,Extensively
806,Not Dependent
808,Not Dependent
810,Not Dependent
811,Not Dependent
813,Not Dependent
814,Not Dependent
815,Moderately
816,Somewhat
819,Not Dependent
820,Not Dependent
821,Not Dependent
822,Not Dependent
823,Moderately
824,Not Dependent
825,Somewhat
826,Not Dependent
827,Not Dependent
828,Extensively
829,Moderately
830,Not Dependent
831,Not Dependent
833,Extensively
834,Fully
835,Moderately
836,Somewhat
840,Not Dependent
841,Not Dependent
843,Not Dependent
844,Not Dependent
847,Not Dependent
848,Not Dependent
849,Not Dependent
852,Not Dependent
853,Not Dependent
854,Not Dependent
855,Not Dependent
856,Not Dependent
857,Not Dependent
858,Not Dependent
859,Extensively
860,Somewhat
861,Not Dependent
864,Somewhat
865,Somewhat
866,Extensively
867,Not Dependent
868,Not Dependent
869,Not Dependent
870,Somewhat
871,Not Dependent
872,Not Dependent
873,Somewhat
874,Somewhat
875,Not Dependent
876,Not Dependent
877,Not Dependent
878,Moderately
879,Not Dependent
882,Not Dependent
883,Moderately
884,Not Dependent
886,Not Dependent
890,Somewhat
891,Fully
892,Not Dependent
893,Not Dependent
894,Not Dependent
895,Extensively
896,Not Dependent
897,Not Dependent
898,Not Dependent
899,Fully
900,Not Dependent
902,Not Dependent
903,Not Dependent
904,Not Dependent
905,Not Dependent
906,Not Dependent
907,Extensively
908,Not Dependent
909,Not Dependent
910,Not Dependent
911,Extensively
912,Moderately
914,Somewhat
915,Moderately
916,Not Dependent
917,Not Dependent
920,Extensively
923,Not Dependent
925,Not Dependent
927,Not Dependent
928,Not Dependent
929,Not Dependent
930,Moderately
931,Not Dependent
932,Not Dependent
933,Extensively
934,Not Dependent
935,Somewhat
936,Moderately
937,Not Dependent
938,Not Dependent
939,Somewhat
940,Not Dependent
941,Not Dependent
942,Moderately
943,Not Dependent
944,Not Dependent
945,Not Dependent
946,Not Dependent
947,Extensively
948,Not Dependent
949,Not Dependent
950,Not Dependent
951,Moderately
954,Not Dependent
955,Moderately
956,Extensively
957,Moderately
958,Not Dependent
959,Extensively
960,Not Dependent
961,Not Dependent
962,Not Dependent
963,Not Dependent
964,Moderately
965,Extensively
967,Not Dependent
972,Somewhat
975,Not Dependent
979,Somewhat
980,Not Dependent
982,Somewhat
983,Not Dependent
984,Not Dependent
985,Not Dependent
986,Not Dependent
987,Somewhat
988,Not Dependent
989,Not Dependent
990,Not Dependent
992,Not Dependent
993,Not Dependent
994,Not Dependent
997,Not Dependent
999,Not Dependent
1000,Not Dependent
1001,Not Dependent
1002,Not Dependent
1003,Fully
1004,Not Dependent
1005,Not Dependent
1006,Somewhat
1007,Extensively
1008,Not Dependent
1010,Not Dependent
1011,Moderately
1012,Not Dependent
1013,Somewhat
1014,Moderately
1015,Not Dependent
1016,Not Dependent
1017,Not Dependent
1018,Not Dependent
1019,Not Dependent
1021,Not Dependent
1023,Not Dependent
1027,Extensively
1028,Not Dependent
1029,Moderately
1031,Moderately
1032,Extensively
1033,Moderately
1035,Extensively
1036,Not Dependent
1037,Extensively
1038,Not Dependent
1041,Not Dependent
1042,Moderately
1043,Not Dependent
1044,Moderately
1045,Not Dependent
1046,Not Dependent
1047,Not Dependent
1050,Not Dependent
1051,Not Dependent
1053,Not Dependent
1054,Not Dependent
1055,Not Dependent
1056,Not Dependent
1057,Not Dependent
1058,Not Dependent
1061,Not Dependent
1063,Fully
1065,Not Dependent
1066,Moderately
1068,Not Dependent
1069,Not Dependent
1070,Not Dependent
1071,Not Dependent
1072,Extensively
1073,Moderately
1075,Not Dependent
1076,Not Dependent
1077,Not Dependent
1079,Not Dependent
1080,Not Dependent
1081,Not Dependent
1082,Not Dependent
1083,Not Dependent
1084,Not Dependent
1085,Not Dependent
1086,Not Dependent
1087,Not Dependent
1088,Not Dependent
1089,Not Dependent
1090,Not Dependent
1091,Not Dependent
1092,Not Dependent
1093,Not Dependent
1094,Moderately
1095,Not Dependent
1096,Extensively
1097,Not Dependent
1098,Moderately
1099,Not Dependent
1100,Not Dependent
1101,Not Dependent
1104,Not Dependent
1105,Not Dependent
1107,Not Dependent
1109,Not Dependent
1110,Not Dependent
1111,Fully
1114,Not Dependent
1115,Not Dependent
1116,Not Dependent
1117,Not Dependent
1120,Not Dependent
1122,Extensively
1125,Not Dependent
1126,Somewhat
1127,Somewhat
1129,Not Dependent
1130,Not Dependent
1132,Not Dependent
1133,Moderately
1134,Not Dependent
1135,Not Dependent
1136,Not Dependent
1138,Not Dependent
1139,Not Dependent
1140,Not Dependent
1141,Not Dependent
1142,Not Dependent
1143,Moderately
1144,Somewhat
1145,Extensively
1146,Somewhat
1147,Extensively
1148,Not Dependent
1149,Moderately
1150,Not Dependent
1151,Not Dependent
1152,Somewhat
1154,Not Dependent
1155,Not Dependent
1156,Not Dependent
1157,Somewhat
1158,Extensively
1159,Moderately
1160,Not Dependent
1161,Not Dependent
1162,Not Dependent
1163,Not Dependent
1165,Not Dependent
1166,Not Dependent
1167,Not Dependent
1169,Not Dependent
1170,Not Dependent
1171,Not Dependent
1172,Not Dependent
1173,Not Dependent
1174,Not Dependent
1175,Not Dependent
1177,Not Dependent
1178,Not Dependent
1179,Not Dependent
1180,Not Dependent
1181,Not Dependent
1183,Not Dependent
1184,Not Dependent
1185,Not Dependent
1186,Not Dependent
1187,Moderately
1188,Not Dependent
1189,Moderately
1190,Not Dependent
1191,Somewhat
1192,Not Dependent
1193,Somewhat
1194,Somewhat
1195,Not Dependent
1197,Not Dependent
1198,Not Dependent
1199,Not Dependent
1200,Not Dependent
1201,Not Dependent
1202,Moderately
1203,Extensively
1204,Not Dependent
1205,Not Dependent
1206,Somewhat
1207,Not Dependent
1208,Not Dependent
1209,Moderately
1210,Extensively
1211,Not Dependent
1212,Moderately
1213,Not Dependent
1214,Not Dependent
1215,Not Dependent
1216,Not Dependent
1217,Not Dependent
1218,Not Dependent
1219,Not Dependent
1220,Not Dependent
1221,Not Dependent
1223,Not Dependent
1224,Extensively
1225,Not Dependent
1226,Not Dependent
1227,Not Dependent
1228,Not Dependent
1231,Not Dependent
1232,Not Dependent
1233,Fully
1234,Moderately
1235,Somewhat
1236,Not Dependent
1237,Not Dependent
1238,Not Dependent
1240,Somewhat
1241,Not Dependent
1242,Not Dependent
1243,Fully
1244,Not Dependent
1245,Not Dependent
1246,Moderately
1247,Not Dependent
1249,Not Dependent
1250,Extensively
1251,Moderately
1252,Not Dependent
1253,Not Dependent
1254,Extensively
1255,Not Dependent
1256,Moderately
1257,Not Dependent
1258,Not Dependent
1259,Not Dependent
1260,Not Dependent
1261,Not Dependent
1262,Not Dependent
1263,Not Dependent
1264,Not Dependent
1265,Somewhat
1267,Not Dependent
1268,Extensively
1269,Not Dependent
1270,Extensively
1271,Not Dependent
1274,Extensively
1275,Extensively
1277,Not Dependent
1278,Not Dependent
1288,Not Dependent
1289,Not Dependent
1290,Not Dependent
1291,Not Dependent
1292,Not Dependent
1293,Fully
1294,Somewhat
1295,Not Dependent
1297,Fully
1298,Moderately
1299,Fully
1300,Moderately
1301,Extensively
1302,Not Dependent
1303,Not Dependent
1304,Moderately
1305,Somewhat
1306,Somewhat
1307,Not Dependent
1308,Somewhat
1309,Not Dependent
1310,Not Dependent
1312,Not Dependent
1313,Not Dependent
1314,Somewhat
1315,Not Dependent
1316,Moderately
1317,Not Dependent
1318,Not Dependent
1319,Not Dependent
1320,Somewhat
1321,Not Dependent
1322,Not Dependent
1323,Somewhat
1324,Not Dependent
1325,Not Dependent
1326,Not Dependent
1328,Not Dependent
1329,Not Dependent
1330,Not Dependent
1331,Not Dependent
1332,Not Dependent
1333,Not Dependent
1334,Not Dependent
1335,Not Dependent
1336,Not Dependent
1337,Not Dependent
1338,Somewhat
1339,Somewhat
1340,Not Dependent
1341,Not Dependent
1343,Extensively
1345,Somewhat
1346,Not Dependent
1348,Somewhat
1349,Not Dependent
1350,Moderately
1351,Not Dependent
1352,Somewhat
1353,Fully
1354,Not Dependent
1355,Not Dependent
1356,Not Dependent
1357,Not Dependent
1358,Not Dependent
1362,Fully
1364,Not Dependent
1365,Not Dependent
1367,Not Dependent
1368,Not Dependent
1369,Moderately
1370,Not Dependent
1371,Somewhat
1372,Moderately
1373,Not Dependent
1375,Not Dependent
1376,Not Dependent
1377,Not Dependent
1378,Not Dependent
1379,Not Dependent
1380,Not Dependent
1381,Somewhat
1382,Not Dependent
1383,Not Dependent
1384,Not Dependent
1385,Not Dependent
1386,Not Dependent
1387,Not Dependent
1388,Not Dependent
1389,Not Dependent
1390,Not Dependent
1391,Not Dependent
1392,Somewhat
1393,Not Dependent
1396,Somewhat
1397,Not Dependent
1398,Not Dependent
1400,Somewhat
1401,Not Dependent
1402,Not Dependent
1403,Not Dependent
1404,Not Dependent
1405,Moderately
1406,Moderately
1407,Not Dependent
1408,Extensively
1409,Not Dependent
1410,Not Dependent
1411,Not Dependent
1412,Not Dependent
1413,Moderately
1414,Not Dependent
1415,Not Dependent
1416,Not Dependent
1417,Not Dependent
1419,Not Dependent
1420,Not Dependent
1421,Somewhat
1422,Moderately
1423,Moderately
1424,Fully
1425,Somewhat
1426,Not Dependent
1427,Not Dependent
1428,Not Dependent
1430,Somewhat
1431,Somewhat
1432,Not Dependent
1433,Not Dependent
1434,Not Dependent
1435,Not Dependent
1436,Not Dependent
1437,Somewhat
1438,Not Dependent
1439,Not Dependent
1440,Extensively
1441,Not Dependent
1442,Not Dependent
1443,Not Dependent
1444,Not Dependent
1445,Not Dependent
1446,Somewhat
1447,Moderately
1448,Not Dependent
1449,Not Dependent
1450,Somewhat
1451,Not Dependent
1452,Not Dependent
1453,Moderately
1454,Not Dependent
1455,Not Dependent
1456,Not Dependent
1458,Not Dependent
1459,Not Dependent
1460,Not Dependent
1462,Not Dependent
1463,Moderately
1464,Not Dependent
1465,Not Dependent
1466,Not Dependent
1467,Moderately
1468,Extensively
1470,Moderately
1471,Not Dependent
1472,Not Dependent
1473,Moderately
1474,Not Dependent
1475,Moderately
1476,Not Dependent
1477,Extensively
1478,Moderately
1479,Not Dependent
1480,Moderately
1481,Not Dependent
1482,Fully
1484,Not Dependent
1485,Not Dependent
1486,Not Dependent
1488,Moderately
1489,Not Dependent
1490,Not Dependent
1491,Somewhat
1492,Not Dependent
1493,Not Dependent
1495,Not Dependent
1496,Somewhat
1497,Extensively
1498,Somewhat
1499,Moderately
1500,Not Dependent
1501,Somewhat
1502,Somewhat
1503,Not Dependent
1504,Not Dependent
1506,Moderately
1507,Not Dependent
1508,Somewhat
1509,Somewhat
1510,Not Dependent
1511,Somewhat
1512,Not Dependent
1513,Extensively
1514,Not Dependent
1515,Fully
1516,Somewhat
1517,Extensively
1518,Not Dependent
1519,Extensively
1520,Not Dependent
1522,Not Dependent
1523,Not Dependent
1524,Not Dependent
1525,Somewhat
1527,Not Dependent
1528,Not Dependent
1529,Not Dependent
1530,Fully
1531,Somewhat
1533,Not Dependent
1534,Not Dependent
1535,Somewhat
1536,Not Dependent
1537,Moderately
1538,Not Dependent
1539,Not Dependent
1540,Moderately
1542,Not Dependent
1543,Extensively
1544,Fully
1545,Not Dependent
1546,Moderately
1547,Not Dependent
1548,Not Dependent
1549,Fully
1550,Not Dependent
1551,Somewhat
1552,Extensively
1553,Not Dependent
1554,Not Dependent
1555,Not Dependent
1556,Somewhat
1557,Moderately
1558,Moderately
1559,Not Dependent
1560,Not Dependent
1561,Somewhat
1563,Extensively
1564,Not Dependent
1566,Not Dependent
1567,Not Dependent
1568,Somewhat
1570,Somewhat
1571,Not Dependent
1572,Not Dependent
1574,Somewhat
1575,Moderately
1576,Not Dependent
1577,Extensively
1578,Moderately
1579,Somewhat
1580,Somewhat
1581,Moderately
1582,Moderately
1583,Moderately
1585,Moderately
1586,Moderately
1588,Not Dependent
1589,Moderately
1590,Moderately
1591,Not Dependent
1592,Not Dependent
1593,Extensively
1594,Moderately
1595,Not Dependent
1596,Not Dependent
1597,Not Dependent
1598,Moderately
1599,Moderately
1600,Not Dependent
1601,Not Dependent
1602,Not Dependent
1603,Not Dependent
1604,Somewhat
1607,Fully
1608,Extensively
1609,Not Dependent
1610,Not Dependent
1611,Extensively
1613,Not Dependent
1616,Moderately
1617,Not Dependent
1618,Moderately
1619,Moderately
1620,Moderately
1621,Moderately
1622,Not Dependent
1623,Extensively
1624,Moderately
1625,Not Dependent
1626,Not Dependent
1627,Somewhat
1628,Moderately
1629,Moderately
1630,Not Dependent
1631,Extensively
1632,Moderately
1633,Extensively
1634,Extensively
1635,Moderately
1636,Not Dependent
1637,Not Dependent
1638,Not Dependent
1639,Not Dependent
1640,Fully
1641,Moderately
1643,Not Dependent
1644,Not Dependent
1645,Not Dependent
1647,Moderately
1648,Fully
1649,Moderately
1650,Somewhat
1651,Not Dependent
1652,Not Dependent
1653,Not Dependent
1654,Somewhat
1655,Not Dependent
1656,Not Dependent
1657,Moderately
1658,Not Dependent
1659,Not Dependent
1660,Not Dependent
1661,Not Dependent
1662,Not Dependent
1663,Somewhat
1664,Not Dependent
1665,Extensively
1666,Extensively
1668,Moderately
1669,Moderately
1672,Moderately
1673,Not Dependent
1674,Somewhat
1678,Moderately
1679,Moderately
1680,Not Dependent
1681,Moderately
1682,Extensively
1683,Not Dependent
1684,Not Dependent
1686,Somewhat
1687,Somewhat
1688,Somewhat
1689,Not Dependent
1690,Moderately
1691,Not Dependent
1692,Not Dependent
1693,Moderately
1694,Moderately
1695,Somewhat
1697,Moderately
1698,Moderately
1699,Extensively
1700,Moderately
1701,Not Dependent
1702,Not Dependent
1703,Not Dependent
1704,Not Dependent
1705,Not Dependent
1706,Somewhat
1707,Not Dependent
1708,Moderately
1709,Moderately
1710,Not Dependent
1711,Somewhat
1712,Somewhat
1713,Moderately
1714,Not Dependent
1715,Not Dependent
1716,Moderately
1717,Extensively
1718,Not Dependent
1719,Moderately
1720,Moderately
1721,Somewhat
1722,Moderately
1723,Moderately
1724,Not Dependent
1725,Not Dependent
1726,Somewhat
1727,Not Dependent
1728,Not Dependent
1729,Moderately
1730,Not Dependent
1731,Not Dependent
1732,Not Dependent
1733,Not Dependent
1734,Not Dependent
1735,Not Dependent
1738,Somewhat
1744,Not Dependent
1747,Not Dependent
1748,Extensively
1749,Not Dependent
1750,Not Dependent
1751,Moderately
1752,Not Dependent
1753,Not Dependent
1754,Not Dependent
1755,Not Dependent
1756,Not Dependent
1757,Not Dependent
1758,Moderately
1760,Somewhat
1768,Somewhat
1770,Somewhat
1771,Not Dependent
1772,Moderately
1773,Moderately
1774,Not Dependent
1775,Not Dependent
1779,Moderately
1780,Moderately
1781,Moderately
1782,Moderately
1783,Moderately
1784,Somewhat
1785,Moderately
1786,Not Dependent
1787,Not Dependent
1788,Not Dependent
1789,Moderately
1790,Not Dependent
1791,Not Dependent
1792,Moderately
1793,Moderately
1794,Extensively
1796,Not Dependent
1797,Moderately
1798,Not Dependent
1799,Extensively
1800,Extensively
1801,Not Dependent
1802,Not Dependent
1803,Not Dependent
1804,Not Dependent
1806,Not Dependent
1807,Not Dependent
1808,Not Dependent
1809,Not Dependent
1812,Not Dependent
1813,Not Dependent
1814,Not Dependent
1815,Not Dependent
1816,Not Dependent
1817,Not Dependent
1819,Not Dependent
1820,Extensively
1821,Moderately
1822,Extensively
1823,Somewhat
1824,Moderately
1826,Fully
1827,Extensively
1828,Not Dependent
1829,Moderately
1830,Moderately
1831,Moderately
1832,Not Dependent
1833,Extensively
1834,Not Dependent
1835,Not Dependent
1836,Somewhat
1837,Not Dependent
1838,Not Dependent
1839,Not Dependent
1843,Not Dependent
1844,Somewhat
1845,Not Dependent
1846,Not Dependent
1848,Not Dependent
1849,Not Dependent
1850,Not Dependent
1851,Not Dependent
1852,Not Dependent
1853,Somewhat
1854,Not Dependent
1855,Not Dependent
1856,Not Dependent
1857,Moderately
1858,Not Dependent
1859,Extensively
1860,Moderately
1861,Somewhat
1862,Not Dependent
1863,Not Dependent
