type,id,thumbnail,image,name,description,yearpublished,minplayers,maxplayers,poll,playingtime,minplaytime,maxplaytime,minage,link,statistics,marketplacelistings
boardgame,204,https://cf.geekdo-images.com/8wlt4GYoByELYHDR9r4mzA__thumb/img/9gO8bpdb9-WmfbNpw7bGtNmJ9_g=/fit-in/200x150/filters:strip_icc()/pic6773824.jpg,https://cf.geekdo-images.com/8wlt4GYoByELYHDR9r4mzA__original/img/c5_VQijOHBFnfdw_QJ2_XtNWuiI=/0x0/filters:format(jpeg)/pic6773824.jpg,,"Reiner Knizia expands his fleet of tile laying games with this game about colliding railroads in early 1800's England.  There are seven different rail companies that players can expand.  Each time you extend a rail, the other stockholders can veto your action, but it might cost them their shares.  When two companies' rail touch, the railways merge to become one.  The game is over when only one company remains or there are no rail tiles remaining, and the winner is the player who earned the most money over the course of the game.&#10;&#10;",,,,,,,,,,,
boardgame,206,https://cf.geekdo-images.com/_ysCHgcIA3319_0VeNy0bA__thumb/img/iLhwmATwpuBGC1hzVbD0TvE-HSM=/fit-in/200x150/filters:strip_icc()/pic6685640.png,https://cf.geekdo-images.com/_ysCHgcIA3319_0VeNy0bA__original/img/VW0c34B_sT0TjvsVBp7CkA2s5Xc=/0x0/filters:format(png)/pic6685640.png,,"Jalape-NO!, first released as Pepper, is a trick-taking game in which you want to dodge the spiciness to end up with the lowest score possible.&#10;&#10;The deck consists of 108 cards (102 number cards and 6 pepper cards), with cards being numbered 1-18 in six colors and with the 1s being peppers. Based on the player count, you use 4-6 colors of cards ranging from 1-9 to 1-18.&#10;&#10;At the start of each round, you receive 12 cards in hand, and you must place any peppers on the table in front of you. The lead player in a trick plays any card from their hand or one of their peppers. Each other player must follow suit, if possible, except that you are not forced to play the matching pepper card, should you have it. (However, if you do have it, you cannot play a pepper of another color to this trick.) Whoever plays the highest card in the suit led wins the trick and leads the next trick. If you win a pepper in a trick, place it on the table in front of you; you can play this pepper on a future trick, whether to lead off the trick or to play it on a trick that's already in progress.&#10;&#10;As soon as a player has no cards in hand, the round ends. All players add any cards in hand to the cards in front of them, whether peppers or cards claimed in tricks. Each pepper you have is worth 2 points, and each card in the same suit as a pepper you have is worth 1 point. After five rounds, the player with the lowest score wins.&#10;&#10;",,,,,,,,,,,
boardgame,207,https://cf.geekdo-images.com/ydehPE2iH1zwbyy73M9cqg__thumb/img/pV2FW-o2qAyM70Pzp_Z8GhrvwtA=/fit-in/200x150/filters:strip_icc()/pic149668.jpg,https://cf.geekdo-images.com/ydehPE2iH1zwbyy73M9cqg__original/img/uyL2orBcTb6oNMnSkgIUPetrkLY=/0x0/filters:format(jpeg)/pic149668.jpg,,"Twitch is an insanely frantic game of reacting to new information.  When someone plays a card, you must quickly determine if it points to you (e.g., if the player to your right plays a card that says &quot;left&quot;), and if it does, throw the top card of your deck onto the pile.  If you're not quick enough, another player will call you out, and you'll have to take all the cards in the pile into your deck.  The first person to run her deck out wins.&#10;&#10;",,,,,,,,,,,
boardgame,208,https://cf.geekdo-images.com/HXgMBa5EPFGn3xGfC7D00g__thumb/img/wIYqC45QECkTkiiHkzbKNoQ-g_Q=/fit-in/200x150/filters:strip_icc()/pic452085.jpg,https://cf.geekdo-images.com/HXgMBa5EPFGn3xGfC7D00g__original/img/0JgWdO-Fv8Y9ObDtI9TTYTrHvac=/0x0/filters:format(jpeg)/pic452085.jpg,,"A quick and simple card game for 2-6 milk-drinking players. Each player places a color card down as their marker and the matching sets of cards numbered 1-12 in those colors make up the deck. The deck is shuffled and players get 4 cards, the remainder goes down as a draw deck. There is a set of small tiles in red and black for negative or positive points (red are 4,4,5,5,6,6, black are 2,3,3,4,4,4,5,5,5,6,6,6). These are shuffled face down and 4 turned up to start 4 rows.&#10;&#10;On your turn, you can place a card against a row or try to swap a card with another player. If you want to swap, you simply offer a color for another color, mentioning no numbers. Swap with the player of your choice, but if nobody wants to swap, you've wasted your turn.&#10;&#10;When you play a card to a row, you draw back so you have 4 cards. When the row is full, determined by the number on the tile, the player with the highest total in the cards has to take the tile, be it positive or negative. Usually your choices are obvious, but sometimes it is worth assisting another player to take a row, rather than waste a good card for you on a low or negative tile. If a row is tied between players, the cards are discarded and the tile stays for more cards.&#10;&#10;The discard deck is shuffled over, taken tiles refreshed by new ones. The game ends when the tiles are all taken, deduct the negative from the positive to get your score.&#10;&#10;This game was re-themed and expanded on with Relikt.&#10;&#10;",,,,,,,,,,,
boardgame,210,https://cf.geekdo-images.com/j6XxG1ylZIfb2toKfjlbfw__thumb/img/ozRRwWcFLDRKEwYfida-MvqpeqA=/fit-in/200x150/filters:strip_icc()/pic24880.jpg,https://cf.geekdo-images.com/j6XxG1ylZIfb2toKfjlbfw__original/img/EWxorxVZemQ5CjO_g711zLqhlGs=/0x0/filters:format(jpeg)/pic24880.jpg,,"In this twisted little game, players take control of a gang of mobsters that are dedicated to extorting money out of businesses and rubbing out the competing mobs in the process.  All of the gang members are placed around an oblong table, with some of the places indicating certain benefits.  If a place has a picture of a business, then the player makes money until the mobster is killed or moved.  If the place has a gun, then he can use it to shoot a mobster across the table.  If a place has a knife, then he can use it to stab someone seated next to him.  Plus, some of the mobsters have the ability to kill others all the time by carrying their own knives and guns.  The game ends when all the available money is taken, and the largest pile of cash takes the game.&#10;&#10;",,,,,,,,,,,
boardgame,211,https://cf.geekdo-images.com/Rpngk7uqOrdtDzwEm6aJMA__thumb/img/PgjQg-4PidppMUZj0pK_-L9QZao=/fit-in/200x150/filters:strip_icc()/pic2205312.jpg,https://cf.geekdo-images.com/Rpngk7uqOrdtDzwEm6aJMA__original/img/TS6xEoaBw7Fq-SPsI_HU8l_Vvdc=/0x0/filters:format(jpeg)/pic2205312.jpg,,"In Times to Remember, the players are trying to remember particular times. Is that clear enough? No? Okay, here are more details.&#10;&#10;Players aren't trying to remember times from their own lives, but rather times from the shared experiences of humanity as a whole. Each player or team starts the game with a set of brackets or tokens (depending on the version of the game), and the first player to rid herself of brackets wins.&#10;&#10;On a turn, all players are confronted with a trivia question, say, &quot;When did the first Star Wars arrive in theaters?&quot; Each player then uses one bracket to mark a particular year or series of years on her individual year chart. Once everyone has placed their answers, the questioner reveals the answer and everyone sees whether that year appears in the range they guessed. If so, they remove that bracket from the game; if not, they keep the bracket. No matter how much you might want to hedge your guesses, eventually you'll need to guess a year dead on, so plumb the depths of your memory and take your best shot!&#10;&#10;",,,,,,,,,,,
boardgame,214,https://cf.geekdo-images.com/VieUvCI62VUhQ9C4agum3A__thumb/img/dZ4v6yOOU5E-oPFK0UbqBGoXyzU=/fit-in/200x150/filters:strip_icc()/pic3987975.png,https://cf.geekdo-images.com/VieUvCI62VUhQ9C4agum3A__original/img/qzA2t0vjkwoGm5yaTBog1ZmewS0=/0x0/filters:format(png)/pic3987975.png,,"This game revolves around the placement of multi-national customers in a restaurant. The board shows many different tables, each with four chairs around them. The tables are grouped by nation, so the Chinese like to sit with other Chinese. However, some of the chairs are on the border between two nations, so a person from either place could occupy the seat. To further complicate this odd tile game, each of the people is either male or female, and tables must be gender-balanced.  As the game progresses some tiles become unplayable...&#10;&#10;",,,,,,,,,,,
boardgame,215,https://cf.geekdo-images.com/gz8_8iYP2SSGVAxpp7CwLg__thumb/img/5jkPnPGk5LWNzuW5GANPDLa4ZRA=/fit-in/200x150/filters:strip_icc()/pic5854968.png,https://cf.geekdo-images.com/gz8_8iYP2SSGVAxpp7CwLg__original/img/9ULfNvkyu0k1m0d63-Mk0k5e0MA=/0x0/filters:format(png)/pic5854968.png,,"Tichu took much of its rules and mechanics from Zheng Fen. It is a partnership climbing card game, and the object of play is to rid yourself of your hand, preferably while scoring points in the process.&#10;&#10;The deck is a standard 52-card pack with four special cards added: dog, phoenix, dragon and Mah Jong (1). When it's your turn, you may either beat the current top card combination &mdash; single card, pair of cards, sequence of pairs, full house, etc. &mdash; or pass. If play passes all the way back to the player who laid the top cards, they win the trick, clears the cards, and can lead the next one. The card led determines the only combination of cards that can be played on that trick, so if a single card is led, then only single cards are played; if a straight of seven cards is led, then only straights of seven cards can be played, etc.&#10;&#10;The last player out in a round gives all the cards they won to the player who exited first, and the last player's unplayed cards are handed to the opposite team. Fives, tens and Kings are worth 5, 10 and 10 points, with each hand worth one hundred points without bonuses &mdash; but the bonuses are what drive the game. At the start of a round, each player can call &quot;Tichu&quot; prior to playing any card. This indicates that the player thinks they can empty their hand first this round; if they do so, their team scores 100 points, and if not, their team instead loses 100 points. Cards are dealt at the start of a round in a group of eight and a group of six; a player can call &quot;Grand Tichu&quot; after looking at only their first eight cards for a &plusmn;200 point bonus. If both players on a team exit a round prior to either player on the opposite team, then no points are scored for cards and the winning team earns 200 points (with Tichu/Grand Tichu bonuses and penalties being applied as normal).&#10;&#10;The first team to 1,000 points wins.&#10;&#10;",,,,,,,,,,,
boardgame,216,https://cf.geekdo-images.com/W9J6g4h0MjXjCf_GNXLBtg__thumb/img/YuPQt41qzAMX8FIa7QkewEGX7QA=/fit-in/200x150/filters:strip_icc()/pic1516987.jpg,https://cf.geekdo-images.com/W9J6g4h0MjXjCf_GNXLBtg__original/img/VPSRsFPlYaMzOX8hUX8b5fMvT6o=/0x0/filters:format(jpeg)/pic1516987.jpg,,"The original edition, titled Revolution, is set in French Revolution-era Paris. Royalists and Jacobins fight for superiority in the 25 city districts, which are represented by the game board. The two players alternately place one of their counters in order to control that space. When a player puts one of his number counters on the board, he projects influence onto the neighboring spaces in that row and column, and onto the space the counter itself is on. The amount of the influence corresponds to the number on the counter. Whoever controls all three of the buildings or controls eleven city districts has won the game.&#10;&#10;The game was later reprinted as Atlanteon, in which mighty undersea warriors fight to control the capital of the Sunken Kingdoms. One player controls the vicious Marauders, who are trying to capture the city, while the other player controls the heroic Guardians, who are trying to defend their home.&#10;&#10;",,,,,,,,,,,
boardgame,217,https://cf.geekdo-images.com/BvXlvPrfHf-6Mhmthc3kJg__thumb/img/Y_x322bcKRHcaKP2gOc_7sbLXgE=/fit-in/200x150/filters:strip_icc()/pic599251.jpg,https://cf.geekdo-images.com/BvXlvPrfHf-6Mhmthc3kJg__original/img/rbgGmxFgY_-3WGBoC5ljkjULFVk=/0x0/filters:format(jpeg)/pic599251.jpg,,"In one of his sillier games, Karl-Heinz Schmiel casts the players as semi-psychotic cooks attempting to hone their culinary skills. Each player receives a miniature pan and a hotplate. Then each turn you can either attempt to turn up the heat, season your dish, or attempt to steal another cook's recipe in the making. Heating your hotplate is a random affair with a die, and could raise the heat on everyone's plate. Spicing the dish is heart of the game and done by up-ending small bottles filled with little colored wood pellets. When the pellets tumble out of the bottle (sometimes, if they do), the number of pellets can't exceed two, because over-spicing the dish ruins it and you have to throw it in the trash!&#10;&#10;The 2009 version includes some changed rules, a new victory condition, additional recipes and some new mechanics in comparison to the 1989 version.&#10;&#10;",,,,,,,,,,,
boardgame,218,https://cf.geekdo-images.com/3tpXY0VnU3bu701E8cBPBg__thumb/img/sq22SbzA0EjkykKdwsymC0sYICo=/fit-in/200x150/filters:strip_icc()/pic58613.jpg,https://cf.geekdo-images.com/3tpXY0VnU3bu701E8cBPBg__original/img/qAxN_nRltuTQxciQK533xv5YFjE=/0x0/filters:format(jpeg)/pic58613.jpg,,"Players represent collectors attempting to gather sets of valuable properties and artifacts ... coins, antiques, miniatures, etc. These sets are worth handsome sums at game's end. Individual pieces of a set are worthless at game's end, but are able to be sold during the course of the game in order to provide a cash-flow.&#10;&#10;These 'properties' are represented on cards. There are 12 different types of properties, varying from 3 - 6 pieces per set. Naturally, the sets containing six pieces are much more valuable than the sets containing only three pieces as it is much more difficult to complete these larger sets.&#10;&#10;Each player is dealt six cards and given a starting 'fund' of $2,000. The top 'property' card is revealed and a bidding ensues. The winner pays the bank and takes the card into his hand. The player then has the option of selling 1 - 3 properties to the bank. The idea here is to rid yourself of properties that you do not wish to collect and provide a source of income.&#10;&#10;There is danger, however. The sales price is determined randomly via the roll of two dice. The price can vary from 25% - 100% of the listed worth of the item. Further, if a '0' is rolled on one of the dice, then the item is NOT sold outright, but rather an auction takes place amongst the players. This can result in a substantially reduced price to the seller, or a higher price, depending upon the demand for the item. Further, it is quite possible that no one desires the item, so the seller must take the item back into his hand. There is also the possibility that the player will earn a $200 bonus if the proper digit is rolled on one of the dice.&#10;&#10;When a property is sold, it is placed on the appropriate section of the 'board' - 25%, 50%, 75%, or 100% (there really isn't a board, just a card holder that indicates these sections). After a player sells properties, he may surrender one of the special 'buyer' cards and purchase from 1 - 3 cards from one of these markets. The player must pay the indicated price (based on the particular percentage market where the property is located) and take the property into his hand.&#10;&#10;Again, there is a decision to be made here. Buyer cards are very valuable, as they can be used in a number of fashions:&#10;&#10;1) Purchase properties, as described above;&#10;&#10;2) Used as a 'wild' card to complete a set; or&#10;&#10;3) Valued as $500.00 at the end of the game.&#10;&#10;So, a player has to weigh the advantages of each of these options and play accordingly.&#10;&#10;Buyer cards are purchases at auction in conjunction with a property card. When a Buyer card is revealed, another card is then revealed, and both cards are then auctioned together. The auction is a 'sealed' auction, however, so the stakes are often high as these cards carry tremendous advantages.&#10;&#10;The game continues in this fashion until the property deck expires or a player calls an end to the game. One can only do this, however, if he has a total value (property sets plus cash) in excess of $5,000. Even then, a player should only do this when he feels he has more assets than any of his opponents.&#10;&#10;As High Bid, this game was published for the 3M Bookshelf Series and 3M Gamette Series.&#10;&#10;",,,,,,,,,,,
boardgame,219,https://cf.geekdo-images.com/R7z-RyRJpbJpbJh_OSbu_g__thumb/img/Z65NzJre_5FYTxJU0SWFqwEs8iE=/fit-in/200x150/filters:strip_icc()/pic1300663.jpg,https://cf.geekdo-images.com/R7z-RyRJpbJpbJh_OSbu_g__original/img/SvO00dRrnJUJLZQI8ESNOJ73iPw=/0x0/filters:format(jpeg)/pic1300663.jpg,,"Players take on the role of club-owners vying for customers' Deutsch Marks in this unique board game, called Full House in German.&#10;&#10;Each player is given a small board representing their cafe or pub. In your turn, you can either place a tile in your pub, representing different types of seating (bar, patio, formal) &amp; activities (dancing, shooting pool, playing fooseball), or you can select a customer card, to draw in customers to those specific tiles, if you have the seating available. A third choice is to take a Billing card, which gives you a tip in cash money, and makes all customers in all the players bars pay their bills too. Yellow customers are worth 10 DM, red 20 DM and blue customers pay 30 DM.&#10;&#10;When there are at least ten customers floating around, players can also spend a Action card which moves customers around. The cards either move off a specific tile type to a type you choose, or from a tile type you choose to a specific tile. So you might move customers specifically from the terrace seating to any other type of your choice (such as the disco floor), or from a tile of your choice (such as the bar) to specifically a Pool Table. The cards allow from 1-4 customers to move, depending on the tiles.&#10;&#10;This is the clever part. As the customers move, they normally pay their bill, unless the Action card shows a No Pay symbol, making them bill-dodgers. When customers move, they first look for a suitable spot within the same pub! Only if they can't find one (either it lacks that type of tile, or there isn't enough room to accommodate them), do they then start wandering clockwise to the next pub, and keep going until they find a suitable spot. If they can't, they leave the game.&#10;&#10;So if you have an Action card that pays a bill, and you have the right empty spaces in your bar (because you've carefully put in a variety of attractions), you move your customers around inside your bar and collect the money (&quot;Hey, we're paying our bar tab now, we're gonna shoot some Pool&quot;). If you have a suitable Action card with a No Pay symbol, you move customers from another player's bar into yours (&quot;This place stinks guys, let's skip out and find a Fooseball!&quot;). It is this clever management of customers that will net you big profits.&#10;&#10;And if your bar is pretty full, especially with blue and red customers, you call a billing as your first action. The other players also collect, but you should have a margin on them, plus the tip (from 30-70 DM).&#10;&#10;There are always three Customer cards and three Action cards face up, and two fresh tiles, so you should be able to make good choices and plan ahead a little. The game ends when the Action cards or the Billing cards are exhausted.&#10;&#10;The winner is the player with the most money, having milked the punters as much as possible.&#10;&#10;",,,,,,,,,,,
boardgame,220,https://cf.geekdo-images.com/_3wm5Ikl8NtF6oTQ5KT-1g__thumb/img/m5NSJT2r-BoSXYt9d1wQGT4dbUA=/fit-in/200x150/filters:strip_icc()/pic3894197.jpg,https://cf.geekdo-images.com/_3wm5Ikl8NtF6oTQ5KT-1g__original/img/Dv5M1RcWQ6UEZyd2eAey-OfSsrU=/0x0/filters:format(jpeg)/pic3894197.jpg,,"In Reiner Knizia's High Society, players bid against each other to acquire the various trappings of wealth (positive-number and multiplier cards) while avoiding its pitfalls (negative number and divisor cards).  While bidding, though, keep an eye on your remaining cash - at the end of the game, even though all those positive-number cards might add up to a win, the player with the least money isn't even considered for victory.&#10;&#10;In 2003 re-published by &#195;&#156;berplay.&#10;&#10;In 2003 published with a new theme by Amigo as Einfach Tierisch.&#10;&#10;In 2006, published by University Games as Animalement V&ocirc;tre (French version) and Beestenveiling (Dutch version).&#10;&#10;In 2008, re-published by Eagle-Gryphon Games&#10;&#10;In 2018, re-published by Osprey Games&#10;&#10;",,,,,,,,,,,
boardgame,221,https://cf.geekdo-images.com/fwG7yJFb4Py3ZGRNXHIYEw__thumb/img/QDGmr3zU-g0sjtCe_3WkQY7qP5o=/fit-in/200x150/filters:strip_icc()/pic1050037.jpg,https://cf.geekdo-images.com/fwG7yJFb4Py3ZGRNXHIYEw__original/img/To7hx1UUqgDS271spiodHss2Lkw=/0x0/filters:format(jpeg)/pic1050037.jpg,,"Shogun / Samurai Swords is the last game in the original Milton Bradley Gamemaster series. It was later rereleased by HAH under the name Ikusa. The game focuses on the chaotic feudal society of Japan during the Middle Ages. Players play one of several factions that erupt into a civil war, trying to consolidate their strongholds and then defeat other armies for the right to be called Shogun, the supreme ruler.&#10;&#10;In the game, players command forces on islands of feudal Japan.  Player forces include provincial forces in the provinces and mobile armies commanded by daimyos.  In each turn, players will allocate their koku into bids and purchases for the round.  The round begins with the allocation of turn order, which is determined by bid, and in the case of tied bids, by player agreement or random draw.  Then players other bids and payments are accounted for in purchases of castles and fortresses, drafting of new troops and ronin, and a bid for the lone ninja.  Following the bids phase, players in turn order plan and execute attacks against enemy territories, with attacks resolved through die rolls.  A player wins the game when he or she has captured a certain number of territories, either via straight conquest or by vanquishing the last of an opponent's diamyos and taking over that player's forces.&#10;&#10;The game was originally published as Shogun and was later changed to Samurai Swords due to a name conflict with James Clavell's Shogun. Ikusa is the latest iteration of the game.&#10;&#10;Winner of 1988 Origins Awards:&#10;&#10;     Best Pre-20th Century Board Game&#10;     Best Graphic Presentation of a Board Game&#10;&#10;&#10;",,,,,,,,,,,
boardgame,222,https://cf.geekdo-images.com/tC7YOp3S1rHocF5k-GVR8w__thumb/img/wL0ImJni4QyHtXSO6GEU968-xeE=/fit-in/200x150/filters:strip_icc()/pic129430.jpg,https://cf.geekdo-images.com/tC7YOp3S1rHocF5k-GVR8w__original/img/U6ZWfkYyQBngp8gZ_kMogaMrTaE=/0x0/filters:format(jpeg)/pic129430.jpg,,"This game is a successor to the popular Bohnanza but is less complex and is not based on trading.&#10;&#10;Players attempt to collect 30 points in &quot;trophies&quot; to win the game. This is accomplished by working with up to two collections of space beans - 1 public (face-up) and 1 secret (face-down).&#10;&#10;The primary mechanic is drawing beans, placing them in one of your collections (public or secret) if you have any matching cards to play, then passing your entire hand to the player on your right. If you compile a collection that contains a number of beans equal to the number value on one of beans in the collection, you may redeem the collection for the same amount of points on that card.&#10;&#10;For example: If a player has three violet beans, and one of them has a value of 3, that collection can be converted for three trophy points. The card numbered 3 would go into the trophy pile, and the other cards into the discard pile.&#10;&#10;Space Beans is part of the Bohnanza family of games.&#10;&#10;",,,,,,,,,,,
boardgame,223,https://cf.geekdo-images.com/gd2nfepLFiR5VXQzNu6Gig__thumb/img/IReL59eUQ09OgWZgvYFA83QU8DI=/fit-in/200x150/filters:strip_icc()/pic97042.jpg,https://cf.geekdo-images.com/gd2nfepLFiR5VXQzNu6Gig__original/img/7x6ZzpKXdRuEr0YQqV1r0n8Kp0k=/0x0/filters:format(jpeg)/pic97042.jpg,,"Based on Wolfgang Kramer's earlier effort Wildlife Adventure, Expedition is a game about moving three commonly held expeditions around the world in search of various archaeological sites. The board shows a map of the world with many different branching paths, and players advance the expeditions by placing plastic arrows. When an expedition arrives at a location that matches one of your private site cards or one of the public site cards, you score that card. Certain spaces on the board allow you to play again immediately, and other spaces allow you to pick up a bonus action card that you can play at any time on one of your turns.&#10;&#10;The game ends when someone has scored all of their cards, then whoever has the highest total score wins. (Public goals are worth more than private goals.)&#10;&#10;",,,,,,,,,,,
boardgame,224,https://cf.geekdo-images.com/2pr-83ghWQUlwXSLuSTCtw__thumb/img/4XPSkcdNf6CXGWsDGSRXrP7VUBc=/fit-in/200x150/filters:strip_icc()/pic287451.jpg,https://cf.geekdo-images.com/2pr-83ghWQUlwXSLuSTCtw__original/img/_MRG_pnmZQwScJWus84gwaXNflE=/0x0/filters:format(jpeg)/pic287451.jpg,,"History of the World works under the assumptions that all empires eventually fade and that the only things differentiating great empires from lesser ones is how much territory they conquer and how long it takes for their civilizations to disappear.  The game is played out over 7 epochs or rounds, from the ancient 3000 B.C. Sumerians to the pre-WW1 Germany, with every player controlling a new rising empire from history.  Some empires are stronger than others (like the Romans), but the game's clever mechanisms can help balance that out.  At the end of each epoch, players score points for all units of their color (from both the current and any previous empires) remaining on the board.&#10;&#10;Before the start of their turn a player may play up to two Event cards from their hand.  The Events played are resolved before the player starts his Empire's actions.  If the player's active Empire has navigation a ship token is placed in each sea or ocean listed (if an ocean is listed all adjacent seas to the ocean have ship markers put into them).  A Reallocation Greater Event allows an Empire with Navigation to exchange Fleets in seas and oceans for Coins that can be used to buy back defeated troops (1 coin per troop).  If the active Empire has a capitol it is taken and placed in the Empire's starting land with one unit of the Empire's available troops.  Since each land space may only contain one troop the player begins expanding from their starting land by placing troops in any adjacent land space that they wish to occupy or conquer.  To conquer a land the attacker moves one unit into the land space either from adjacent land or through a sea with a ship in it.  Then dice are rolled, the attacker gets 2 dice and the defender only one, unless the attacker traveled across a strait or the defender's land has either a forest, the great wall of China, or mountains on the border of the land that the attacker came from.  In this case the defender receives 2 dice as well.  If the attack comes from the sea the defender gets 3 dice for defense.  Highest score wins with ties killing off both the defender and attacker.  In this case the attacker can merely place the next troop, if he has any left, in the now-empty land space.&#10;&#10;At any time the active Empire player may exchange an unplaced troop for a fort.  On later turns, a fort gives the player a +1 to defensive rolls in that land.  Also, if the defender in a fort loses or ties with an attacker only the fort is removed and the battle continues.  Whenever an army conquers a land with a capitol the capitol mini is flipped reducing it to a city (if it was a city to begin with it is removed from board when conquered).  After the active player's Empire is finished with it's actions check to see if it conquered to land spaces with resource symbols, if so it can build a monument.&#10;&#10;Then scoring takes place.  Each area (Middle-East, Northern Europe, Eurasia, etc...) has a tile with 3 values for the current Epoch.  One value is for having a presence in the area (at least one land).  Another value is for having Dominance in the area (at least 2 lands and more than any other player in area). The last value is for having Control of an area (at least 3 lands and no other player has any in area).  These values vary from Epoch to Epoch and Area to Area (Middle-East is more valuable in early Epochs and fades in later Epochs, for example).  Total the scores from each area for all pieces of the player's color from all Empires controlled that remain on board.  Then add 2 points for each capitol controlled, 1 point per city and one point for each monument controlled. After all areas are scored the next Empire called takes its turn.&#10;&#10;After all players have taken their turns and scored, for the first Epoch, the player with the highest score gets to take a pre-eminence marker and places it in front of him.  These are secret bonus points (worth somewhere from 3 to 6) for the end of the game and may not be examined till then.  This bonus to leader helps balance the Empire-draw mechanic and makes it valuable to score maximal points even early in the game, rather than tanking to get a better draw later. Then drawing begins for the next Epoch with the player having the lowest score drawing first on up to the person with the highest score drawing last (and likely being given a less than optimal Empire by another player).&#10;&#10;After the last player has scored for Epoch 7 and the leader has drawn a pre-eminence marker, all players reveal their pre-eminence markers and add them to their scores.  The player with the highest score wins.&#10;&#10;",,,,,,,,,,,
boardgame,225,https://cf.geekdo-images.com/kPU6TOMiwCQ7dGe3MpaWYg__thumb/img/BkrAHOrcdw7ghyW2elJnA18dn14=/fit-in/200x150/filters:strip_icc()/pic4999976.png,https://cf.geekdo-images.com/kPU6TOMiwCQ7dGe3MpaWYg__original/img/z4qMs2KUEJIY4YRegZQxXfXm77c=/0x0/filters:format(png)/pic4999976.png,,"This is the game that introduced Icehouse Pieces. In December 1989, an initial test run of 100 Icehouse sets were made and sold, packaged in black boxes. Later, a few more of these handmade sets were produced, but in very limited quantities.&#10;&#10;This game doesn't use turns, or rounds, or anything else to break up the action.  Players place their pieces as quickly or slowly as they like, in attacking or defending positions.  Only when time runs out or when everyone has used up all their pieces is the game scored, with people getting points for their safe defenders and successful attackers.&#10;&#10;",,,,,,,,,,,
boardgame,226,https://cf.geekdo-images.com/76iArYYHqyhCMMoTx-UqdA__thumb/img/jDw1cIXumwmadnLqzVYTRiWg_MI=/fit-in/200x150/filters:strip_icc()/pic296559.jpg,https://cf.geekdo-images.com/76iArYYHqyhCMMoTx-UqdA__original/img/kAGf5rFaMudANVFj_lX1rsiYMYI=/0x0/filters:format(jpeg)/pic296559.jpg,,"Isi is a colorful abstract strategy game played on two levels.  On a basic level, each player is moving a pawn around the island of Isi, picking up tokens - there's a little strategy here, because which tokens you pick up are important, and one player's pawn can interfere with the other's.  But on another level, players are spending those tokens to build 'trade routes' between cities on the same island.  Cities grow as they become connected by trade routes, and at the end of the game whichever city's grown the most becomes the capital city; whoever is connected the most to the capital wins the game.&#10;&#10;Re-implemented by:&#10;&#10;    Morisi&#10;&#10;&#10;",,,,,,,,,,,
boardgameexpansion,227,https://cf.geekdo-images.com/1RIoXUoJnyhRukrcCbvuKw__thumb/img/rzmjkc7qyjO9DEW2sT8xhRQ1wbY=/fit-in/200x150/filters:strip_icc()/pic199970.jpg,https://cf.geekdo-images.com/1RIoXUoJnyhRukrcCbvuKw__original/img/hCjEgJ2CtzfwbrUTw3_fUXLBAsU=/0x0/filters:format(jpeg)/pic199970.jpg,,"Knightmare Chess adds a whole new element of unpredictability to the game of standard Chess by giving players cards that they can play before, after, or sometimes instead of their turns. Some cards affect only a single move, while others change the entire game. Each card is assigned a point value, so you can build custom decks based on an agreed point total or handicap the match so that the better player has fewer powerful cards. Multiple variants are included in the rules.&#10;&#10;Integrates with:&#10;&#10;&#10;    Knightmare Chess 2&#10;&#10;&#10;Number of Cards&#10;&#10;&#10;    French First Edition: 72 Cards&#10;    German First Edition: 51 Cards&#10;&#10;&#10;",,,,,,,,,,,
boardgame,228,https://cf.geekdo-images.com/UVl6bt_8kuY7GidRg7tGhA__thumb/img/6djRuEnG87sWXrO1LS0AUxvKhFg=/fit-in/200x150/filters:strip_icc()/pic11310.jpg,https://cf.geekdo-images.com/UVl6bt_8kuY7GidRg7tGhA__original/img/RKWCnT1y07EhLHhEtEYuf73tN94=/0x0/filters:format(jpeg)/pic11310.jpg,,"This card game simulates children (a little girl is featured on all cards) running around the playground beating up each other and stealing their lunch money.  Once you get past the strange theme, there's a fun little game where players beat each other senseless with cards like 'Poke in the Eye', 'Uppercut', and 'Humiliation.'  Not for the weak willed, this game is mean.  The last player still standing wins.&#10;&#10;Re-implemented by:&#10;&#10;    Beer Money&#10;&#10;&#10;Integrates with:&#10;&#10;    Beer Money&#10;&#10;&#10;",,,,,,,,,,,
boardgame,229,https://cf.geekdo-images.com/L_ijbDT0eKXZBTB8RGzJJA__thumb/img/6ifi9itZZySwvvDapkL3rpdDmyk=/fit-in/200x150/filters:strip_icc()/pic369769.jpg,https://cf.geekdo-images.com/L_ijbDT0eKXZBTB8RGzJJA__original/img/rD3fOt5_BFUQeOu2H9XrKmtiNqo=/0x0/filters:format(jpeg)/pic369769.jpg,,"The Elven king is dead, and players are competing to become the next king.  This game is similar in nature to Elfenroads/Elfenland in that players try to visit as many cities as possible using optimal transportation cards; what's different is that the lay of the land is also dictated by card play.  Other players may interfere with your journey through the use of thieves, obstacles, and sea serpents.&#10;&#10;",,,,,,,,,,,
